UIC;Gare enquêtée;Fréquence;POURCENTAGE;Année
391003.0;Paris Montparnasse 1 et 2 + Vaugirard;1 ou plusieurs fois par mois;20.0;2012
547000.0;Paris Austerlitz;Tous les jours de la semaine ou presque;21.0;2013
583005.0;Angoulême;1 ou plusieurs fois par mois;25.0;2012
718007.0;Besançon-Viotte;1 à 2 fois par semaine;18.0;2012
718007.0;Besançon-Viotte;Tous les jours de la semaine ou presque;44.0;2012
753657.0;Arles;1 à 2 fois par semaine;11.0;2014
113001.0;Paris Est;C'est la première fois;10.0;2012
319012.0;Aix en Provence-TGV;1 à 2 fois par semaine;14.0;2015
481002.0;Nantes;Moins d'1 fois par mois;25.0;2014
581009.0;Bordeaux Saint-Jean;C'est la première fois;7.0;2014
713040.0;Dijon;1 ou plusieurs fois par mois;21.0;2015
118000.0;Troyes;1 ou plusieurs fois par mois;15.0;2015
192039.0;Metz;Tous les jours de la semaine ou presque;52.0;2016
271494.0;Aéroport Charles de Gaulle 2 TGV;1 ou plusieurs fois par mois;12.0;2013
271494.0;Aéroport Charles de Gaulle 2 TGV;Moins d'1 fois par mois;58.0;2013
300863.0;Besançon Franche-Comté TGV;Tous les jours de la semaine ou presque;6.0;2015
313874.0;Amiens;C'est la première fois;4.0;2015
396002.0;Le Mans;1 à 2 fois par semaine;19.0;2015
481002.0;Nantes;1 à 2 fois par semaine;14.0;2014
677005.0;Hendaye;1 à 2 fois par semaine;6.0;2016
751008.0;Marseille Saint-Charles;1 ou plusieurs fois par mois;15.0;2013
753657.0;Arles;Moins d'1 fois par mois;27.0;2014
762906.0;Lyon Saint Exupery TGV;C'est la première fois;19.0;2016
773002.0;Montpellier Saint-Roch;C'est la première fois;9.0;2015
113001.0;Paris Est;1 ou plusieurs fois par mois;8.0;2012
182063.0;Mulhouse;Tous les jours de la semaine ou presque;47.0;2014
286005.0;Lille Flandres;C'est la première fois;5.0;2013
300822.0;Belfort Montbéliard TGV;Tous les jours de la semaine ou presque;1.0;2015
411017.0;Rouen Rive Droite;Moins d'1 fois par mois;17.0;2014
478404.0;Laval;C'est la première fois;24.0;2011
547000.0;Paris Austerlitz;1 à 2 fois par semaine;14.0;2013
571000.0;Tours;Tous les jours de la semaine ou presque;46.0;2016
192039.0;Metz;C'est la première fois;5.0;2016
611004.0;Toulouse Matabiau;C'est la première fois;9.0;2014
212027.0;Strasbourg;Tous les jours de la semaine ou presque;57.0;2016
673400.0;Biarritz;Moins d'1 fois par mois;34.0;2016
319012.0;Aix en Provence-TGV;Tous les jours de la semaine ou presque;1.0;2015
747006.0;Grenoble;1 ou plusieurs fois par mois;16.0;2015
393702.0;Massy TGV;1 à 2 fois par semaine;8.0;2013
756056.0;Nice;1 à 2 fois par semaine;14.0;2014
471003.0;Rennes;1 ou plusieurs fois par mois;22.0;2014
757625.0;Cannes;1 ou plusieurs fois par mois;21.0;2015
471003.0;Rennes;Tous les jours de la semaine ou presque;25.0;2014
784009.0;Perpignan;1 à 2 fois par semaine;15.0;2016
476002.0;Lorient;1 à 2 fois par semaine;20.0;2010
223263.0;Lille Europe;Tous les jours de la semaine ou presque;21.0;2013
478404.0;Laval;Moins d'1 fois par mois;13.0;2011
286005.0;Lille Flandres;1 ou plusieurs fois par mois;10.0;2013
484006.0;Angers Saint Laud;1 ou plusieurs fois par mois;18.0;2015
300863.0;Besançon Franche-Comté TGV;1 à 2 fois par semaine;19.0;2015
575001.0;Poitiers;1 à 2 fois par semaine;15.0;2015
444000.0;Caen;Tous les jours de la semaine ou presque;39.0;2012
581009.0;Bordeaux Saint-Jean;Tous les jours de la semaine ou presque;24.0;2014
753657.0;Arles;Tous les jours de la semaine ou presque;34.0;2014
673004.0;Bayonne;Tous les jours de la semaine ou presque;24.0;2013
755009.0;Toulon;Tous les jours de la semaine ou presque;23.0;2014
686006.0;Paris Gare de Lyon;Moins d'1 fois par mois;34.0;2012
118000.0;Troyes;1 à 2 fois par semaine;20.0;2015
686006.0;Paris Gare de Lyon;Tous les jours de la semaine ou presque;28.0;2012
141002.0;Nancy;Moins d'1 fois par mois;18.0;2014
718007.0;Besançon-Viotte;Moins d'1 fois par mois;22.0;2012
182014.0;Colmar;C'est la première fois;4.0;2017
757625.0;Cannes;Tous les jours de la semaine ou presque;38.0;2015
271494.0;Aéroport Charles de Gaulle 2 TGV;C'est la première fois;21.0;2013
763029.0;Valence TGV Rhône-Alpes Sud;Tous les jours de la semaine ou presque;11.0;2015
300822.0;Belfort Montbéliard TGV;Moins d'1 fois par mois;40.0;2015
686667.0;Paris Bercy;Moins d'1 fois par mois;31.0;2012
318964.0;Avignon TGV;Tous les jours de la semaine ou presque;3.0;2015
223263.0;Lille Europe;1 ou plusieurs fois par mois;17.0;2013
411017.0;Rouen Rive Droite;1 ou plusieurs fois par mois;15.0;2014
345025.0;Lens;C'est la première fois;5.0;2016
411017.0;Rouen Rive Droite;C'est la première fois;4.0;2014
384008.0;Paris St Lazare;;2.0;2013
484006.0;Angers Saint Laud;C'est la première fois;7.0;2015
384008.0;Paris St Lazare;1 ou plusieurs fois par mois;6.0;2013
583005.0;Angoulême;C'est la première fois;10.0;2012
393702.0;Massy TGV;1 ou plusieurs fois par mois;19.0;2013
747006.0;Grenoble;Moins d'1 fois par mois;19.0;2015
756056.0;Nice;1 ou plusieurs fois par mois;11.0;2014
753657.0;Arles;1 ou plusieurs fois par mois;13.0;2014
686667.0;Paris Bercy;1 à 2 fois par semaine;14.0;2012
753657.0;Arles;C'est la première fois;14.0;2014
141002.0;Nancy;1 à 2 fois par semaine;15.0;2014
212027.0;Strasbourg;C'est la première fois;5.0;2016
345025.0;Lens;1 à 2 fois par semaine;15.0;2016
384008.0;Paris St Lazare;1 à 2 fois par semaine;12.0;2013
396002.0;Le Mans;1 ou plusieurs fois par mois;14.0;2015
411017.0;Rouen Rive Droite;Tous les jours de la semaine ou presque;50.0;2014
444877.0;Cherbourg;C'est la première fois;11.0;2015
444877.0;Cherbourg;Moins d'1 fois par mois;30.0;2015
571000.0;Tours;1 à 2 fois par semaine;13.0;2016
757625.0;Cannes;Moins d'1 fois par mois;14.0;2015
762906.0;Lyon Saint Exupery TGV;Moins d'1 fois par mois;45.0;2016
773002.0;Montpellier Saint-Roch;1 ou plusieurs fois par mois;19.0;2015
686667.0;Paris Bercy;1 ou plusieurs fois par mois;13.0;2012
118000.0;Troyes;Moins d'1 fois par mois;20.0;2015
171009.0;Reims;Moins d'1 fois par mois;13.0;2016
171009.0;Reims;Tous les jours de la semaine ou presque;51.0;2016
182014.0;Colmar;1 ou plusieurs fois par mois;13.0;2017
271494.0;Aéroport Charles de Gaulle 2 TGV;1 à 2 fois par semaine;5.0;2013
396002.0;Le Mans;Tous les jours de la semaine ou presque;37.0;2015
478404.0;Laval;1 à 2 fois par semaine;15.0;2011
686006.0;Paris Gare de Lyon;;0.0;2012
722025.0;Lyon Perrache;Moins d'1 fois par mois;26.0;2011
762906.0;Lyon Saint Exupery TGV;1 à 2 fois par semaine;10.0;2016
784009.0;Perpignan;Tous les jours de la semaine ou presque;23.0;2016
686667.0;Paris Bercy;C'est la première fois;8.0;2012
318964.0;Avignon TGV;1 à 2 fois par semaine;12.0;2015
476002.0;Lorient;Moins d'1 fois par mois;23.0;2010
484006.0;Angers Saint Laud;Moins d'1 fois par mois;24.0;2015
673400.0;Biarritz;1 à 2 fois par semaine;5.0;2016
713040.0;Dijon;Moins d'1 fois par mois;20.0;2015
722025.0;Lyon Perrache;1 à 2 fois par semaine;10.0;2011
