UIC;Gare enquêtée;Classe distance gare gare;POURCENTAGE;Année
673004.0;Bayonne;150 à 200 km;28.0;2013
171009.0;Reims;100 à 150 km;32.0;2016
481002.0;Nantes;75 à 100 km;12.0;2014
300863.0;Besançon Franche-Comté TGV;250 à 300 km;2.0;2015
478404.0;Laval;200 à 250 km;33.0;2011
300822.0;Belfort Montbéliard TGV;150 à 200 km;1.0;2015
319012.0;Aix en Provence-TGV;Plus de 500 km;63.0;2015
478404.0;Laval;50 à 75 km;41.0;2011
444877.0;Cherbourg;Moins de 25 km;8.0;2015
319012.0;Aix en Provence-TGV;250 à 300 km;23.0;2015
471003.0;Rennes;400 à 500 km;4.0;2014
319012.0;Aix en Provence-TGV;50 à 75 km;3.0;2015
345025.0;Lens;150 à 200 km;8.0;2016
318964.0;Avignon TGV;50 à 75 km;2.0;2015
713040.0;Dijon;200 à 250 km;4.0;2015
212027.0;Strasbourg;150 à 200 km;0.0;2016
753657.0;Arles;100 à 150 km;2.0;2014
171009.0;Reims;300 à 400 km;1.0;2016
286005.0;Lille Flandres;75 à 100 km;7.0;2013
171009.0;Reims;25 à 50 km;24.0;2016
318964.0;Avignon TGV;300 à 400 km;3.0;2015
481002.0;Nantes;200 à 250 km;1.0;2014
575001.0;Poitiers;200 à 250 km;9.0;2015
583005.0;Angoulême;400 à 500 km;4.0;2012
476002.0;Lorient;25 à 50 km;27.0;2010
673004.0;Bayonne;50 à 75 km;5.0;2013
223263.0;Lille Europe;75 à 100 km;7.0;2013
763029.0;Valence TGV Rhône-Alpes Sud;Plus de 500 km;8.0;2015
182014.0;Colmar;50 à 75 km;45.0;2017
763029.0;Valence TGV Rhône-Alpes Sud;400 à 500 km;30.0;2015
775007.0;Nîmes;300 à 400 km;1.0;2014
763029.0;Valence TGV Rhône-Alpes Sud;75 à 100 km;13.0;2015
773002.0;Montpellier Saint-Roch;200 à 250 km;1.0;2015
775007.0;Nîmes;Plus de 500 km;22.0;2014
762906.0;Lyon Saint Exupery TGV;300 à 400 km;28.0;2016
762906.0;Lyon Saint Exupery TGV;75 à 100 km;9.0;2016
581009.0;Bordeaux Saint-Jean;75 à 100 km;3.0;2014
755009.0;Toulon;200 à 250 km;0.0;2014
583005.0;Angoulême;150 à 200 km;4.0;2012
753657.0;Arles;25 à 50 km;39.0;2014
583005.0;Angoulême;75 à 100 km;6.0;2012
723197.0;Lyon Part Dieu;150 à 200 km;3.0;2011
286005.0;Lille Flandres;200 à 250 km;15.0;2013
722025.0;Lyon Perrache;150 à 200 km;1.0;2011
223263.0;Lille Europe;300 à 400 km;3.0;2013
411017.0;Rouen Rive Droite;400 à 500 km;1.0;2014
318964.0;Avignon TGV;75 à 100 km;12.0;2015
